TID, SKU, Amount, In_Out, Date_Truck_Arrived
1,1,1,Inbound,2016-01-01 00:00:00
2,1,1,Inbound,2017-01-01 00:00:00
3,1,1,Outbound,2017-01-01 00:05:00
